Unnamed: 0,Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons,Latitude,Longitude
79,La Norma,France,2750,1350,29,17,43,5,65,Yes,No,7,5,1,13,13290,126,27.410961,-82.6563731
80,Pal-​Arinsal-La Massana-Vallnord-,Andorra,1550,1230,37,31,24,8,63,Yes,No,15,12,4,31,37400,296,42.572647,1.483529
81,Arabba,Italy,2478,1602,49,32,22,8,62,Yes,No,3,16,4,23,43973,620,46.497167,11.8737721
82,Wildkogel-Neukirchen-​Bramberg,Austria,2150,820,44,28,25,9,62,Yes,Yes,15,4,5,24,27388,335,47.2856937,12.2976376
83,Hintertux Glacier,Austria,3250,1500,52,14,35,11,60,Yes,No,10,6,6,22,38852,260,47.06130720000000,11.6675254
84,Disentis 3000,Switzerland,2833,1227,49,20,30,10,60,Yes,No,9,3,1,13,10990,4,46.7009273,8.8412014
85,Belalp-Blatten,Switzerland,3118,1322,49,20,20,20,60,Yes,No,8,3,2,13,13640,0,46.371389,7.974167
86,San Martino di Castrozza,Italy,2357,1404,44,16,32,12,60,Yes,Yes,7,14,3,24,29859,150,46.26176420000000,11.8002183
87,Meiringen-Hasliberg,Switzerland,1055,600,50,20,34,6,60,No,Yes,6,4,5,15,16381,75,46.75009620000000,8.176326100000000
88,Toggenburg-Wildhaus-​Unterwasser-​Alt St. Johann,Switzerland,2262,900,52,10,45,5,60,Yes,Yes,18,3,4,25,19956,55,47.19716530000000,9.3086091
89,Alpe di Siusi-Seiser Alm-,Italy,1669,1000,54,14,45,1,60,Yes,No,9,15,3,27,35624,70,46.5423435,11.6168855
90,Le Lioran,France,1850,1160,31,30,20,10,60,Yes,Yes,13,8,1,22,25195,241,45.0827278,2.7503595
91,Saint Luc-​Chandolin-Anniviers-,Switzerland,3025,1655,47,20,30,10,60,Yes,No,11,3,1,15,10350,104,46.2522028,7.597252000000000
92,Les Karellis,France,2520,1600,27,26,25,9,60,Yes,No,10,6,0,16,17452,98,45.2274742,6.4048037
93,Peyragudes,France,2400,1600,40,30,26,4,60,Yes,No,8,9,0,17,22791,230,42.7830502,0.4601674
94,Leysin,Switzerland,2205,1250,45,43,15,2,60,Yes,No,8,7,1,16,12980,72,46.3435634,7.012033
95,Ponte di Legno-Passo ​Tonale-​Presena Glacier-​Temù-Pontedilegno-Tonale-,Italy,3016,1121,42,10,40,9,59,Yes,Yes,7,19,4,30,49825,0,46.2547314,10.5086096
96,Eggli-​La Videmanette-Gstaad-​Saanen-​Rougemont,Switzerland,2151,992,54,35,17,5,58,No,No,8,4,5,17,15363,0,46.467968,7.285750000000000
97,Anzère,Switzerland,2420,1500,46,12,37,9,58,Yes,No,10,3,1,14,12462,120,46.2972352,7.3989039
